fid,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,pop_sum
54,33,BRA,Brazil,2,Alagoas,51,Feira Grande,54,Feira Grande,Distrito,District,,,20258
55,33,BRA,Brazil,2,Alagoas,52,Feliz Deserto,55,Feliz Deserto,Distrito,District,,,3700
56,33,BRA,Brazil,2,Alagoas,53,Flexeiras,56,Flexeiras,Distrito,District,,,9375
57,33,BRA,Brazil,2,Alagoas,54,Girau do Ponciano,57,Girau do Ponciano,Distrito,District,,,38463
58,33,BRA,Brazil,2,Alagoas,55,Ibateguara,58,Ibateguara,Distrito,District,,,13318
59,33,BRA,Brazil,2,Alagoas,56,Igaci,59,Igaci,Distrito,District,,,24155
60,33,BRA,Brazil,2,Alagoas,57,Igreja Nova,60,Igreja Nova,Distrito,District,,,20605
61,33,BRA,Brazil,2,Alagoas,58,Inhapi,61,Inhapi,Distrito,District,,,14241
62,33,BRA,Brazil,2,Alagoas,59,Jacaré dos Homens,62,Jacaré dos Homens,Distrito,District,,,5250
63,33,BRA,Brazil,2,Alagoas,60,Jacuípe,63,Jacuípe,Distrito,District,,,4768
64,33,BRA,Brazil,2,Alagoas,61,Japaratinga,64,Japaratinga,Distrito,District,,,8885
65,33,BRA,Brazil,2,Alagoas,62,Jaramataia,65,Jaramataia,Distrito,District,,,4394
66,33,BRA,Brazil,2,Alagoas,63,Joaquim Gomes,66,Joaquim Gomes,Distrito,District,,,13252
67,33,BRA,Brazil,2,Alagoas,64,Jundiá,67,Jundiá,Distrito,District,,,4933
68,33,BRA,Brazil,2,Alagoas,65,Junqueiro,68,Junqueiro,Distrito,District,,,24924
69,33,BRA,Brazil,2,Alagoas,66,Lagoa da Canoa,69,Lagoa da Canoa,Distrito,District,,,21078
70,33,BRA,Brazil,2,Alagoas,67,Limoeiro de Anadia,70,Limoeiro de Anadia,Distrito,District,,,23060
71,33,BRA,Brazil,2,Alagoas,68,Maceió (capital),71,Quarta Regiao,Distrito,District,,,147567
72,33,BRA,Brazil,2,Alagoas,68,Maceió (capital),72,Quinta Regiao,Distrito,District,,,132367
73,33,BRA,Brazil,2,Alagoas,68,Maceió (capital),73,Segunda Regiao,Distrito,District,,,111990
74,33,BRA,Brazil,2,Alagoas,68,Maceió (capital),74,Setima Regiao,Distrito,District,,,254127
75,33,BRA,Brazil,2,Alagoas,68,Maceió (capital),75,Sexta Regiao,Distrito,District,,,238535
76,33,BRA,Brazil,2,Alagoas,68,Maceió (capital),76,Terceira Regiao,Distrito,District,,,91391
77,33,BRA,Brazil,2,Alagoas,69,Major Isidoro,77,Major Isidoro,Distrito,District,,,14186
78,33,BRA,Brazil,2,Alagoas,69,Major Isidoro,78,Riacho do Sertao,Distrito,District,,,3624
79,33,BRA,Brazil,2,Alagoas,70,Mar Vermelho,79,Mar Vermelho,Distrito,District,,,2518
80,33,BRA,Brazil,2,Alagoas,71,Maragogi,80,Barra Grande,Distrito,District,,,14869
81,33,BRA,Brazil,2,Alagoas,71,Maragogi,81,Maragogi,Distrito,District,,,14708
82,33,BRA,Brazil,2,Alagoas,72,Maravilha,82,Maravilha,Distrito,District,,,8582
83,33,BRA,Brazil,2,Alagoas,73,Marechal deodoro,83,Marechal deodoro,Distrito,District,,,65080
84,33,BRA,Brazil,2,Alagoas,74,Maribondo,84,Maribondo,Distrito,District,,,13552
85,33,BRA,Brazil,2,Alagoas,75,Mata Grande,85,Mata Grande,Distrito,District,,,23176
86,33,BRA,Brazil,2,Alagoas,76,Matriz de Camaragibe,86,Matriz de Camaragibe,Distrito,District,,,26009
87,33,BRA,Brazil,2,Alagoas,77,Messias,87,Messias,Distrito,District,,,14978
88,33,BRA,Brazil,2,Alagoas,78,Minador do Negrão,88,Minador do Negrão,Distrito,District,,,4610
