cell_id,cell_type,latitude,longitude,altitude,antenna_height,power_w,range_m,directionality,azimuth_angle,elevation_angle,path_loss_exponent,horizontal_beam_width,vertical_beam_width,azimuth_signal_strength_back_loss,elevation_signal_strength_back_loss
c00000,macro,-22.8207,-46.9922,675.8240522129888,25.51875506061582,23.15601948660067,1001.3229967565547,1,259.4622192001662,2.713724586959321,3.2,61.624185395387215,15.544631498685096,21.785001848823452,21.287631914670197
c00001,small,-23.8346,-46.9298,671.3135424233116,12.364718396964559,11.15450689224577,829.4000397110665,1,256.04559413088134,4.0569643076046615,2.8,93.95755041884641,22.243694968067004,13.830789550214995,15.53117293858288
c00002,macro,-23.6522,-46.8299,663.1013372354923,37.379085859341004,57.38755432833163,1977.9366369941283,0,,,3.2,66.66514881590409,8.878208435470015,20.43407977536578,17.183179342863
c00003,small,-23.4802,-46.5457,671.4050794768422,9.487848714994575,14.800545555738596,984.8376973413018,1,13.195942260565365,-7.910196070528733,2.8,97.21318080288155,20.552233079835,13.645714823345177,14.09286326034554
c00004,micro,-23.5195,-46.6204,651.107886953154,4.715580075692445,2.2759786563497135,552.5028074124164,1,109.36782785054493,4.090091724808546,3.0,115.9284921487594,36.064348445224425,11.54998821835239,10.747756452557791
c00005,macro,-23.5108,-46.4998,683.257634896411,29.53110683751844,36.22854586802113,1319.2388571005004,1,56.56906974922229,-7.072599740011764,3.2,74.1562805253395,10.506138400736626,17.673046262126466,16.188529733099084
c00006,macro,-22.8779,-43.273,675.6631821270852,26.664696729553427,37.17234406889339,1937.3850069375649,0,,,3.2,66.79647215146898,10.087392757796003,17.833556552066543,17.86899171369103
c00007,macro,-23.4716,-46.5466,632.9554479857891,36.470096255909,35.25830604703984,910.2416349419634,1,352.56460289493754,-4.02693570568342,3.2,67.97893684506357,12.710248495359615,16.898889055851996,21.178760359016522
c00008,micro,-23.9436,-46.3727,656.4313587526877,5.608916189638554,1.4799636628599089,490.9629165064744,0,,,3.0,122.00932993558986,31.26853737492226,10.937550409586823,13.032329337755707
c00009,small,-23.4718,-46.52,619.054067409463,9.55487897934633,18.642925540113367,745.8223770534601,1,114.79461963226882,0.05720048612607087,2.8,90.8965558000393,19.379612822827866,14.741646316061361,12.679459293528447
c00010,small,-23.536,-46.62,680.4357794647142,9.325421014716653,9.642438719996441,901.3541161469841,1,261.04115387504606,-2.0221616029281373,2.8,89.76328094286856,18.350045155976506,14.960752643984579,12.679209882404699
c00011,macro,-23.6086,-46.7546,654.4846288206347,28.343381567211996,22.378694841751464,1338.344345173091,1,183.30580183029178,-0.9470340349274764,3.2,70.41128676674543,15.114621782798036,19.832849426557576,18.788868077199318
c00012,small,-23.4197,-46.4917,676.9754568813403,9.329871167622064,6.9250750662165625,774.4526701398692,1,15.814131686418573,-6.2627451606534805,2.8,89.50800547560257,16.33273868962639,12.163443490127396,15.034622632378856
c00013,macro,-23.4418,-46.4173,647.8128499046434,31.0213980380237,48.417899343962944,1369.1616391020298,0,,,3.2,62.74484965494066,8.235237138577695,19.965198637172904,17.54178083421132
c00014,small,-23.3075,-45.9425,612.8746500246938,11.495037419223642,15.136243462431947,851.9993618070707,1,336.6898397183505,-6.078139919362801,2.8,87.64708177668527,17.94298969383876,14.98106976256241,12.631834722192286
c00015,micro,-22.8341,-47.1756,702.7473508213998,6.057411343691995,1.0505184839788604,458.1287718362517,1,37.13939738605025,-3.79628635190986,3.0,121.67741943142488,33.494240959148286,12.045789367818793,13.45643010056677
c00016,small,-23.5289,-46.8353,652.6217709437448,10.168588947252086,13.843924993005134,654.9560772851945,1,228.63340339549407,-3.4750488994696367,2.8,95.62205584241707,17.115863735673493,15.514021055757322,13.990680948250775
c00017,micro,-22.9234,-43.2977,629.995827531964,7.9839070752628665,3.414693356607923,358.1262450825834,1,285.23723358272815,4.377216692819185,3.0,119.78858522715761,27.23907706600353,11.838246414699533,11.870167249842007
c00018,macro,-23.3998,-46.0666,672.9152457678177,31.208013228076993,46.59240624453402,1107.1035428151704,1,95.5580625809726,-4.037554057874963,3.2,55.978301786556244,11.35935935012645,21.335694553367567,21.46467781064741
